,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.06.2020,11:00,Auction 3. Period DE,T3PA,successful,24.18,23.56,25.55,24.33,24.25,"2,363,000","3,736,500",47,30,2.76,"79,500","219,794","334,344","157,533","159,407",1.58,17,15,"57,137,340",DE,,,,,,"57,137,340",,,,,,,,,,,,,,,,,,,,,,,,,
18.06.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,23.63,22.70,25.00,23.45,23.25,"2,717,000","4,576,000",50,11,2.50,"91,520","228,800","286,097","388,143","290,995",1.68,20,7,"64,202,710",EU,"1,252,390","2,445,705","3,142,790","259,930","5,033,190",,"1,122,425","1,004,275","3,497,240","8,483,170","1,500,505","4,915,040","496,230","1,571,395","838,865",,"248,115","8,790,360",0,"602,565","118,150","283,560","106,335","3,012,825","5,068,635",,"1,760,435","5,635,755","862,495","448,970","1,701,360"
17.06.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,22.81,22.10,25.00,23.00,22.86,"5,332,000","7,332,000",63,39,3.32,"116,381","385,895","496,553","313,647","421,548",1.38,19,17,"121,622,920",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"121,622,920",,,,,
16.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,22.87,22.16,25.00,22.87,22.70,"2,717,000","4,618,000",62,19,2.95,"74,484","219,905","302,877","194,071","260,430",1.70,21,14,"62,137,790",EU,"1,212,110","2,367,045","3,041,710","251,570","4,871,310",,"1,086,325","971,975","3,384,760","8,210,330","1,452,245","4,756,960","480,270","1,520,855","811,885",,"240,135","8,507,640",0,"583,185","114,350","274,440","102,915","2,915,925","4,905,615",,"1,703,815","5,454,495","834,755","434,530","1,646,640"
15.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,21.80,21.37,25.00,21.93,21.80,"2,717,000","4,753,000",55,25,2.50,"86,418","216,045","306,735","194,071","260,892",1.75,22,14,"59,230,600",EU,"1,155,400","2,256,300","2,899,400","239,800","4,643,400",,"1,035,500","926,500","3,226,400","7,826,200","1,384,300","4,534,400","457,800","1,449,700","773,900",,"228,900","8,109,600",0,"555,900","109,000","261,600","98,100","2,779,500","4,676,100",,"1,624,100","5,199,300","795,700","414,200","1,569,600"
12.06.2020,11:00,Auction 3. Period DE,T3PA,successful,22.15,21.50,25.02,22.13,22.03,"2,363,000","5,034,000",59,16,2.95,"85,322","251,700","359,780","214,818","262,971",2.13,20,11,"52,340,450",DE,,,,,,"52,340,450",,,,,,,,,,,,,,,,,,,,,,,,,
11.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,22.20,21.65,25.01,22.57,22.12,"2,717,000","5,322,000",50,19,2.78,"106,440","295,667","382,832","247,000","211,039",1.96,18,11,"60,317,400",EU,"1,176,600","2,297,700","2,952,600","244,200","4,728,600",,"1,054,500","943,500","3,285,600","7,969,800","1,409,700","4,617,600","466,200","1,476,300","788,100",,"233,100","8,258,400",0,"566,100","111,000","266,400","99,900","2,830,500","4,761,900",,"1,653,900","5,294,700","810,300","421,800","1,598,400"
09.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,22.30,20.71,25.01,22.26,22.29,"2,717,000","4,419,000",60,27,2.86,"73,650","210,429","289,995","194,071","216,556",1.63,21,14,"60,589,100",EU,"1,181,900","2,308,050","2,965,900","245,300","4,749,900",,"1,059,250","947,750","3,300,400","8,005,700","1,416,050","4,638,400","468,300","1,482,950","791,650",,"234,150","8,295,600",0,"568,650","111,500","267,600","100,350","2,843,250","4,783,350",,"1,661,350","5,318,550","813,950","423,700","1,605,600"
08.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,22.66,22.12,25.01,22.77,22.65,"2,717,000","3,659,500",45,22,2.37,"81,322","192,605","281,187","209,000","254,142",1.35,19,13,"61,567,220",EU,"1,200,980","2,345,310","3,013,780","249,260","4,826,580",,"1,076,350","963,050","3,353,680","8,134,940","1,438,910","4,713,280","475,860","1,506,890","804,430",,"237,930","8,429,520",0,"577,830","113,300","271,920","101,970","2,889,150","4,860,570",,"1,688,170","5,404,410","827,090","430,540","1,631,520"
05.06.2020,11:00,Auction 3. Period DE,T3PA,successful,22.50,21.00,25.00,22.38,22.31,"2,363,000","4,494,000",55,13,2.62,"81,709","214,000","302,973","181,769","216,554",1.90,21,13,"53,167,500",DE,,,,,,"53,167,500",,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,21.77,21.21,25.00,21.86,21.75,"2,717,000","4,219,000",62,27,2.95,"68,048","200,905","253,027","194,071","208,713",1.55,21,14,"59,149,090",EU,"1,153,810","2,253,195","2,895,410","239,470","4,637,010",,"1,034,075","925,225","3,221,960","7,815,430","1,382,395","4,528,160","457,170","1,447,705","772,835",,"228,585","8,098,440",0,"555,135","108,850","261,240","97,965","2,775,675","4,669,665",,"1,621,865","5,192,145","794,605","413,630","1,567,440"
03.06.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,21.98,21.31,25.00,22.33,21.96,"5,332,000","7,348,500",64,29,3.05,"114,820","349,929","584,897","333,250","592,700",1.38,21,16,"117,197,360",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"117,197,360",,,,,
02.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,21.15,20.00,25.00,21.29,21.09,"2,717,000","5,109,000",60,21,2.73,"85,150","232,227","301,534","209,000","306,711",1.88,22,13,"57,464,550",EU,"1,120,950","2,189,025","2,812,950","232,650","4,504,950",,"1,004,625","898,875","3,130,200","7,592,850","1,343,025","4,399,200","444,150","1,406,475","750,825",,"222,075","7,867,800",0,"539,325","105,750","253,800","95,175","2,696,625","4,536,675",,"1,575,675","5,044,275","771,975","401,850","1,522,800"
29.05.2020,11:00,Auction 3. Period DE,T3PA,successful,21.70,21.01,25.00,21.70,21.52,"2,363,000","4,316,500",53,12,2.79,"81,443","227,184","325,598","337,571","457,459",1.83,19,7,"51,277,100",DE,,,,,,"51,277,100",,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,20.95,20.02,25.00,21.05,20.75,"2,717,000","5,482,000",61,15,2.77,"89,869","249,182","280,715","247,000","286,399",2.02,22,11,"56,921,150",EU,"1,110,350","2,168,325","2,786,350","230,450","4,462,350",,"995,125","890,375","3,100,600","7,521,050","1,330,325","4,357,600","439,950","1,393,175","743,725",,"219,975","7,793,400",0,"534,225","104,750","251,400","94,275","2,671,125","4,493,775",,"1,560,775","4,996,575","764,675","398,050","1,508,400"
26.05.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,21.45,20.81,25.00,21.62,21.36,"2,717,000","4,861,000",66,24,3.14,"73,652","231,476","299,621","194,071","264,279",1.79,21,14,"58,279,650",EU,"1,136,850","2,220,075","2,852,850","235,950","4,568,850",,"1,018,875","911,625","3,174,600","7,700,550","1,362,075","4,461,600","450,450","1,426,425","761,475",,"225,225","7,979,400",0,"546,975","107,250","257,400","96,525","2,734,875","4,601,025",,"1,598,025","5,115,825","782,925","407,550","1,544,400"
20.05.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,20.11,18.40,25.01,20.44,20.06,"5,332,000","7,645,000",76,33,3.30,"100,592","332,391","623,485","410,154","710,507",1.43,23,13,"107,226,520",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"107,226,520",,,,,
19.05.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,20.02,18.40,25.00,20.13,19.97,"2,717,000","5,094,500",70,26,2.92,"72,779","212,271","319,970","159,824","278,726",1.88,24,17,"54,394,340",EU,"1,061,060","2,072,070","2,662,660","220,220","4,264,260",,"950,950","850,850","2,962,960","7,187,180","1,271,270","4,164,160","420,420","1,331,330","710,710",,"210,210","7,447,440",0,"510,510","100,100","240,240","90,090","2,552,550","4,294,290",,"1,491,490","4,774,770","730,730","380,380","1,441,440"
18.05.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,19.30,18.40,25.00,19.48,19.23,"2,717,000","4,627,500",73,30,3.17,"63,390","201,196","302,657","169,813","231,348",1.70,23,16,"52,438,100",EU,"1,022,900","1,997,550","2,566,900","212,300","4,110,900",,"916,750","820,250","2,856,400","6,928,700","1,225,550","4,014,400","405,300","1,283,450","685,150",,"202,650","7,179,600",0,"492,150","96,500","231,600","86,850","2,460,750","4,139,850",,"1,437,850","4,603,050","704,450","366,700","1,389,600"
15.05.2020,11:00,Auction 3. Period DE,T3PA,successful,19.02,18.40,25.00,19.34,19.01,"2,363,000","3,480,500",60,28,2.61,"58,008","151,326","238,727","147,688","240,027",1.47,23,16,"44,944,260",DE,,,,,,"44,944,260",,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,18.37,17.71,22.00,18.48,18.27,"2,717,000","4,560,000",70,30,2.80,"65,143","182,400","183,857","143,000","142,317",1.68,25,19,"49,911,290",EU,"973,610","1,901,295","2,443,210","202,070","3,912,810",,"872,575","780,725","2,718,760","6,594,830","1,166,495","3,820,960","385,770","1,221,605","652,135",,"192,885","6,833,640",0,"468,435","91,850","220,440","82,665","2,342,175","3,940,365",,"1,368,565","4,381,245","670,505","349,030","1,322,640"
12.05.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,18.72,18.02,25.00,18.88,18.67,"2,717,000","4,205,500",66,28,2.87,"63,720","182,848","194,280","143,000","167,405",1.55,23,19,"50,862,240",EU,"992,160","1,937,520","2,489,760","205,920","3,987,360",,"889,200","795,600","2,770,560","6,720,480","1,188,720","3,893,760","393,120","1,244,880","664,560",,"196,560","6,963,840",0,"477,360","93,600","224,640","84,240","2,386,800","4,015,440",,"1,394,640","4,464,720","683,280","355,680","1,347,840"
11.05.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,18.81,18.31,25.00,19.15,18.85,"2,717,000","3,664,500",60,37,2.86,"61,075","174,500","230,874","150,944","210,918",1.35,21,18,"51,106,770",EU,"996,930","1,946,835","2,501,730","206,910","4,006,530",,"893,475","799,425","2,783,880","6,752,790","1,194,435","3,912,480","395,010","1,250,865","667,755",,"197,505","6,997,320",0,"479,655","94,050","225,720","84,645","2,398,275","4,034,745",,"1,401,345","4,486,185","686,565","357,390","1,354,320"
08.05.2020,11:00,Auction 3. Period DE,T3PA,successful,19.38,18.37,22.00,19.26,19.13,"2,363,000","4,814,500",68,14,3.40,"70,801","240,725","250,229","196,917","213,527",2.04,20,12,"45,794,940",DE,,,,,,"45,794,940",,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,19.00,18.01,25.00,19.20,18.88,"2,717,000","4,372,500",68,29,3.24,"64,301","208,214","279,505","159,824","257,795",1.61,21,17,"51,623,000",EU,"1,007,000","1,966,500","2,527,000","209,000","4,047,000",,"902,500","807,500","2,812,000","6,821,000","1,206,500","3,952,000","399,000","1,263,500","674,500",,"199,500","7,068,000",0,"484,500","95,000","228,000","85,500","2,422,500","4,075,500",,"1,415,500","4,531,500","693,500","361,000","1,368,000"
06.05.2020,15:00,EUAA Auction CAP2-EU,EAA3,successful,17.75,13.90,18.60,16.90,16.99,"810,500","1,729,500",17,7,2.83,"101,735","288,250","253,121","202,625","112,786",2.13,6,4,"14,386,375",EU,"319,500","363,875","124,250","195,250","159,750",,"363,875","17,750","674,500","2,201,000","284,000","1,641,875","79,875","133,125","292,875",,"355,000","1,943,625",0,"35,500","35,500","71,000","79,875","497,000","3,381,375",,"390,500","213,000","488,125","17,750","26,625"
06.05.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,18.85,17.71,25.00,18.94,18.61,"5,332,000","8,747,000",88,22,4.63,"99,398","460,368","479,795","444,333","469,940",1.64,19,12,"100,508,200",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"100,508,200",,,,,
05.05.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,19.01,18.81,25.00,19.58,19.32,"2,717,000","2,742,500",53,51,2.52,"51,745","130,595","151,392","129,381","152,031",1.01,21,21,"51,650,170",EU,"1,007,530","1,967,535","2,528,330","209,110","4,049,130",,"902,975","807,925","2,813,480","6,824,590","1,207,135","3,954,080","399,210","1,264,165","674,855",,"199,605","7,071,720",0,"484,755","95,050","228,120","85,545","2,423,775","4,077,645",,"1,416,245","4,533,885","693,865","361,190","1,368,720"
30.04.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,19.97,19.01,23.00,20.08,19.92,"2,717,000","4,775,000",79,30,3.95,"60,443","238,750","263,978","169,813","253,517",1.76,20,16,"54,258,490",EU,"1,058,410","2,066,895","2,656,010","219,670","4,253,610",,"948,575","848,725","2,955,560","7,169,230","1,268,095","4,153,760","419,370","1,328,005","708,935",,"209,685","7,428,840",0,"509,235","99,850","239,640","89,865","2,546,175","4,283,565",,"1,487,765","4,762,845","728,905","379,430","1,437,840"
28.04.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,19.99,19.21,25.00,19.98,19.83,"2,717,000","5,686,000",83,19,4.15,"68,506","284,300","349,379","209,000","307,647",2.09,20,13,"54,312,830",EU,"1,059,470","2,068,965","2,658,670","219,890","4,257,870",,"949,525","849,575","2,958,520","7,176,410","1,269,365","4,157,920","419,790","1,329,335","709,645",,"209,895","7,436,280",0,"509,745","99,950","239,880","89,955","2,548,725","4,287,855",,"1,489,255","4,767,615","729,635","379,810","1,439,280"
27.04.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,20.40,19.80,25.00,20.50,20.34,"2,717,000","5,275,000",72,27,3.27,"73,264","239,773","308,785","159,824","184,091",1.94,22,17,"55,426,800",EU,"1,081,200","2,111,400","2,713,200","224,400","4,345,200",,"969,000","867,000","3,019,200","7,323,600","1,295,400","4,243,200","428,400","1,356,600","724,200",,"214,200","7,588,800",0,"520,200","102,000","244,800","91,800","2,601,000","4,375,800",,"1,519,800","4,865,400","744,600","387,600","1,468,800"
24.04.2020,11:00,Auction 3. Period DE,T3PA,successful,20.49,20.01,26.00,20.73,20.38,"2,363,000","4,293,000",66,20,3.30,"65,045","214,650","240,906","147,688","169,642",1.82,20,16,"48,417,870",DE,,,,,,"48,417,870",,,,,,,,,,,,,,,,,,,,,,,,,
23.04.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,20.24,19.51,23.00,20.30,20.17,"2,717,000","4,976,000",81,33,3.52,"61,432","216,348","207,304","143,000","141,972",1.83,23,19,"54,992,080",EU,"1,072,720","2,094,840","2,691,920","222,640","4,311,120",,"961,400","860,200","2,995,520","7,266,160","1,285,240","4,209,920","425,040","1,345,960","718,520",,"212,520","7,529,280",0,"516,120","101,200","242,880","91,080","2,580,600","4,341,480",,"1,507,880","4,827,240","738,760","384,560","1,457,280"
22.04.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,19.75,19.20,23.00,19.99,19.72,"5,332,000","8,568,500",88,38,4.19,"97,369","408,024","460,534","333,250","434,093",1.61,21,16,"105,307,000",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"105,307,000",,,,,
21.04.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,20.40,19.76,25.00,20.47,20.18,"2,717,000","5,784,500",81,20,3.68,"71,414","262,932","298,634","181,133","270,852",2.13,22,15,"55,426,800",EU,"1,081,200","2,111,400","2,713,200","224,400","4,345,200",,"969,000","867,000","3,019,200","7,323,600","1,295,400","4,243,200","428,400","1,356,600","724,200",,"214,200","7,588,800",0,"520,200","102,000","244,800","91,800","2,601,000","4,375,800",,"1,519,800","4,865,400","744,600","387,600","1,468,800"
20.04.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,21.24,20.73,25.00,21.37,21.15,"2,717,000","4,870,000",74,20,3.36,"65,811","221,364","239,891","194,071","212,036",1.79,22,14,"57,709,080",EU,"1,125,720","2,198,340","2,824,920","233,640","4,524,120",,"1,008,900","902,700","3,143,520","7,625,160","1,348,740","4,417,920","446,040","1,412,460","754,020",,"223,020","7,901,280",0,"541,620","106,200","254,880","95,580","2,708,100","4,555,980",,"1,582,380","5,065,740","775,260","403,560","1,529,280"
17.04.2020,11:00,Auction 3. Period DE,T3PA,successful,21.87,20.99,25.00,21.73,21.62,"2,363,000","4,634,500",68,15,3.40,"68,154","231,725","218,475","196,917","199,176",1.96,20,12,"51,678,810",DE,,,,,,"51,678,810",,,,,,,,,,,,,,,,,,,,,,,,,
16.04.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,20.10,19.50,22.00,20.07,19.96,"2,717,500","5,001,500",78,19,3.12,"64,122","200,060","251,660","181,167","257,144",1.84,25,15,"54,621,750",EU,"1,065,300","2,080,350","2,673,300","221,100","4,281,300",,"954,750","854,250","2,974,800","7,215,900","1,276,350","4,180,800","422,100","1,336,650","713,550",,"211,050","7,477,200","10,050","512,550","100,500","241,200","90,450","2,562,750","4,311,450",,"1,497,450","4,793,850","733,650","381,900","1,447,200"
14.04.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,20.17,19.86,23.00,20.37,20.22,"2,717,500","4,109,500",62,39,2.70,"66,282","178,674","169,589","129,405","147,679",1.51,23,21,"54,811,975",EU,"1,069,010","2,087,595","2,682,610","221,870","4,296,210",,"958,075","857,225","2,985,160","7,241,030","1,280,795","4,195,360","423,570","1,341,305","716,035",,"211,785","7,503,240","10,085","514,335","100,850","242,040","90,765","2,571,675","4,326,465",,"1,502,665","4,810,545","736,205","383,230","1,452,240"
09.04.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,21.40,20.91,23.00,21.42,21.33,"2,717,500","4,061,000",64,25,3.05,"63,453","193,381","212,073","181,167","225,852",1.49,21,15,"58,154,500",EU,"1,134,200","2,214,900","2,846,200","235,400","4,558,200",,"1,016,500","909,500","3,167,200","7,682,600","1,358,900","4,451,200","449,400","1,423,100","759,700",,"224,700","7,960,800","10,700","545,700","107,000","256,800","96,300","2,728,500","4,590,300",,"1,594,300","5,103,900","781,100","406,600","1,540,800"
08.04.2020,15:00,EUAA Auction CAP2-PL,EAA3,successful,20.74,19.01,30.01,20.98,20.60,"105,500","422,000",20,5,2.86,"21,100","60,286","41,562","26,375","15,497",4.00,7,4,"2,188,070",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"2,188,070",,,,,
08.04.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,20.07,19.31,23.00,20.09,19.94,"5,332,000","8,065,000",81,32,4.26,"99,568","424,474","371,777","313,647","312,585",1.51,19,17,"107,013,240",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"107,013,240",,,,,
07.04.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,21.11,20.25,25.00,21.01,20.82,"2,717,500","5,819,000",69,18,3.00,"84,333","253,000","221,136","181,167","149,612",2.14,23,15,"57,366,425",EU,"1,118,830","2,184,885","2,807,630","232,210","4,496,430",,"1,002,725","897,175","3,124,280","7,578,490","1,340,485","4,390,880","443,310","1,403,815","749,405",,"221,655","7,852,920","10,555","538,305","105,550","253,320","94,995","2,691,525","4,528,095",,"1,572,695","5,034,735","770,515","401,090","1,519,920"
06.04.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,18.36,17.81,22.00,18.57,18.35,"2,717,500","4,228,000",74,35,3.70,"57,135","211,400","241,624","150,972","179,998",1.56,20,18,"49,893,300",EU,"973,080","1,900,260","2,441,880","201,960","3,910,680",,"872,100","780,300","2,717,280","6,591,240","1,165,860","3,818,880","385,560","1,220,940","651,780",,"192,780","6,829,920","9,180","468,180","91,800","220,320","82,620","2,340,900","3,938,220",,"1,367,820","4,378,860","670,140","348,840","1,321,920"
03.04.2020,11:02,Auction 3. Period DE,T3PA,successful,17.90,17.41,25.00,18.16,17.83,"2,363,000","4,096,000",69,29,3.14,"59,362","186,182","224,353","157,533","165,670",1.73,22,15,"42,297,700",DE,,,,,,"42,297,700",,,,,,,,,,,,,,,,,,,,,,,,,
02.04.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,17.52,16.71,20.00,17.39,17.25,"2,717,500","5,374,500",66,13,2.87,"81,432","233,674","287,432","247,045","276,701",1.98,23,11,"47,610,600",EU,"928,560","1,813,320","2,330,160","192,720","3,731,760",,"832,200","744,600","2,592,960","6,289,680","1,112,520","3,644,160","367,920","1,165,080","621,960",,"183,960","6,517,440","8,760","446,760","87,600","210,240","78,840","2,233,800","3,758,040",,"1,305,240","4,178,520","639,480","332,880","1,261,440"
31.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,17.40,16.81,20.00,17.34,17.18,"2,717,500","4,558,000",55,14,2.75,"82,873","227,900","242,759","209,038","206,715",1.68,20,13,"47,284,500",EU,"922,200","1,800,900","2,314,200","191,400","3,706,200",,"826,500","739,500","2,575,200","6,246,600","1,104,900","3,619,200","365,400","1,157,100","617,700",,"182,700","6,472,800","8,700","443,700","87,000","208,800","78,300","2,218,500","3,732,300",,"1,296,300","4,149,900","635,100","330,600","1,252,800"
30.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,16.32,15.71,18.00,16.23,16.10,"2,717,500","4,768,000",57,12,2.59,"83,649","216,727","249,324","301,944","259,788",1.75,22,9,"44,349,600",EU,"864,960","1,689,120","2,170,560","179,520","3,476,160",,"775,200","693,600","2,415,360","5,858,880","1,036,320","3,394,560","342,720","1,085,280","579,360",,"171,360","6,071,040","8,160","416,160","81,600","195,840","73,440","2,080,800","3,500,640",,"1,215,840","3,892,320","595,680","310,080","1,175,040"
27.03.2020,11:01,Auction 3. Period DE,T3PA,successful,16.55,16.01,20.00,16.49,16.36,"2,363,000","5,144,000",60,13,3.33,"85,733","285,778","335,156","214,818","257,841",2.18,18,11,"39,107,650",DE,,,,,,"39,107,650",,,,,,,,,,,,,,,,,,,,,,,,,
26.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,16.30,15.71,25.00,16.55,16.30,"3,398,000","5,515,000",66,34,3.30,"83,561","275,750","332,254","188,778","182,397",1.62,20,18,"55,387,400",EU,"1,092,100","2,102,700","2,697,650","211,900","4,352,100",,"961,700","872,050","3,015,500","7,302,400","1,287,700","4,238,000","440,100","1,361,050","717,200",,"220,050","7,579,500","16,300","513,450","89,650","244,500","97,800","2,591,700","4,376,550",,"1,524,050","4,865,550","749,800","399,350","1,467,000"
25.03.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,16.95,16.50,19.00,17.18,17.03,"5,332,000","6,140,500",65,45,3.42,"94,469","323,184","336,435","313,647","343,665",1.15,19,17,"90,377,400",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"90,377,400",,,,,
24.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,16.25,15.61,20.00,16.32,16.15,"3,396,500","5,893,000",67,23,3.05,"87,955","267,864","401,162","212,281","289,851",1.74,22,16,"55,193,125",EU,"1,072,500","2,104,375","2,705,625","227,500","4,322,500",,"966,875","861,250","3,006,250","7,296,250","1,291,875","4,225,000","422,500","1,348,750","723,125",,"211,250","7,556,250","8,125","520,000","105,625","243,750","89,375","2,591,875","4,355,000",,"1,511,250","4,842,500","739,375","381,875","1,462,500"
23.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,14.60,0.01,20.00,14.50,14.47,"3,396,500","6,436,500",75,24,3.57,"85,820","306,500","367,776","226,433","202,282",1.90,21,15,"49,588,900",EU,"963,600","1,890,700","2,430,900","204,400","3,883,600",,"868,700","773,800","2,701,000","6,555,400","1,160,700","3,796,000","379,600","1,211,800","649,700",,"189,800","6,789,000","7,300","467,200","94,900","219,000","80,300","2,328,700","3,912,800",,"1,357,800","4,350,800","664,300","343,100","1,314,000"
20.03.2020,11:01,Auction 3. Period DE,T3PA,successful,16.35,15.71,18.00,16.42,16.35,"2,363,000","4,469,500",69,29,3.45,"64,775","223,475","252,623","168,786","239,682",1.89,20,14,"38,635,050",DE,,,,,,"38,635,050",,,,,,,,,,,,,,,,,,,,,,,,,
19.03.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,16.03,13.00,18.00,16.35,16.29,"3,396,500","5,882,500",54,46,3.00,"108,935","326,806","669,483","188,694","258,957",1.73,18,18,"54,445,895",EU,"1,057,980","2,075,885","2,668,995","224,420","4,263,980",,"953,785","849,590","2,965,550","7,197,470","1,274,385","4,167,800","416,780","1,330,490","713,335",,"208,390","7,453,950","8,015","512,960","104,195","240,450","88,165","2,556,785","4,296,040",,"1,490,790","4,776,940","729,365","376,705","1,442,700"
17.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,cancelled,,,,,,"2,717,500","2,668,500",45,0,2.81,"59,300","166,781","186,155",,,0.98,16,0,,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,20.64,19.50,25.00,20.62,20.38,"2,717,500","6,448,000",56,11,3.11,"115,143","358,222","429,662","301,944","178,217",2.37,18,9,"56,089,200",EU,"1,093,920","2,136,240","2,745,120","227,040","4,396,320",,"980,400","877,200","3,054,720","7,409,760","1,310,640","4,293,120","433,440","1,372,560","732,720",,"216,720","7,678,080","10,320","526,320","103,200","247,680","92,880","2,631,600","4,427,280",,"1,537,680","4,922,640","753,360","392,160","1,486,080"
13.03.2020,11:00,Auction 3. Period DE,T3PA,successful,22.78,22.31,25.00,22.79,22.71,"2,363,000","5,448,500",69,20,3.83,"78,964","302,694","328,794","181,769","186,728",2.31,18,13,"53,829,140",DE,,,,,,"53,829,140",,,,,,,,,,,,,,,,,,,,,,,,,
12.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,22.85,21.00,25.00,22.76,22.69,"2,717,500","8,527,000",101,25,3.74,"84,426","315,815","457,097","143,026","182,303",3.14,27,19,"62,094,875",EU,"1,211,050","2,364,975","3,039,050","251,350","4,867,050",,"1,085,375","971,125","3,381,800","8,203,150","1,450,975","4,752,800","479,850","1,519,525","811,175",,"239,925","8,500,200","11,425","582,675","114,250","274,200","102,825","2,913,375","4,901,325",,"1,702,325","5,449,725","834,025","434,150","1,645,200"
11.03.2020,15:00,EUAA Auction CAP2-EU,EAA3,successful,23.59,23.21,23.95,23.53,23.55,"810,500","1,825,000",28,9,4.67,"65,179","304,167","253,483","202,625","93,652",2.25,6,4,"19,119,695",EU,"424,620","483,595","165,130","259,490","212,310",,"483,595","23,590","896,420","2,925,160","377,440","2,182,075","106,155","176,925","389,235",,"471,800","2,583,105",0,"47,180","47,180","94,360","106,155","660,520","4,493,895",,"518,980","283,080","648,725","23,590","35,385"
11.03.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,23.63,22.99,25.00,23.66,23.61,"5,332,000","10,783,000",92,41,3.54,"117,207","414,731","589,447","253,905","329,233",2.02,26,21,"125,995,160",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"125,995,160",,,,,
