,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,52.50,48.00,57.00,52.49,52.57,"3,288,500","6,396,000",93,52,3.44,"68,774","236,889","621,240","142,978","253,748",1.94,27,23,"172,646,250",EU,"2,782,500","4,777,500","7,166,250","656,250","5,617,500",,"2,598,750","2,152,500","8,820,000","21,630,000","3,648,750","12,915,000","971,250","3,675,000","1,365,000","16,721,250","26,250","22,312,500",0,"735,000","78,750","498,750","29,006,250","236,250","7,901,250","1,575,000",,"4,462,500","4,803,750","1,916,250","1,128,750","2,467,500"
09.07.2021,11:00,Auction 4. Period DE,T3PA,successful,53.85,52.00,60.01,53.81,53.42,"2,651,000","4,170,000",62,17,3.26,"67,258","219,474","398,864","241,000","440,109",1.57,19,11,"142,756,350",DE,,,,,,"142,756,350",,,,,,,,,,,,,,,,,,,,,,,,,,
08.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,51.09,48.00,59.00,51.20,51.02,"3,288,500","5,067,500",91,42,3.50,"55,687","194,904","327,952","173,079","297,134",1.54,26,19,"168,009,465",EU,"2,707,770","4,649,190","6,973,785","638,625","5,466,630",,"2,528,955","2,094,690","8,583,120","21,049,080","3,550,755","12,568,140","945,165","3,576,300","1,328,340","16,272,165","25,545","21,713,250",0,"715,260","76,635","485,355","28,227,225","229,905","7,689,045","1,532,700",,"4,342,650","4,674,735","1,864,785","1,098,435","2,401,230"
07.07.2021,15:00,EUAA Auction CAP3 EU,EAA3,successful,53.15,52.00,54.00,53.00,53.07,"614,500","1,486,000",18,7,3.60,"82,556","297,200","206,783","153,625","116,936",2.42,5,4,"32,660,675",EU,"850,400","1,169,300","398,625","292,325","425,200",,"1,036,425","106,300","2,099,425","5,979,375","850,400","4,544,325","318,900","398,625","770,675",,"372,050","4,942,950",0,"186,025","132,875","212,600",,"239,175","1,727,375","1,700,800",,"1,567,925","744,100","1,488,200","53,150","53,150"
07.07.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,53.98,50.00,60.00,53.90,53.89,"2,575,000","4,149,500",93,41,3.72,"44,618","165,980","211,783","128,750","169,923",1.61,25,20,"138,998,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,998,500",,,,,
06.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,57.15,56.33,63.00,57.38,57.13,"3,288,500","4,737,500",79,38,3.04,"59,968","182,212","310,030","149,477","262,425",1.44,26,22,"187,937,775",EU,"3,028,950","5,200,650","7,800,975","714,375","6,115,050",,"2,828,925","2,343,150","9,601,200","23,545,800","3,971,925","14,058,900","1,057,275","4,000,500","1,485,900","18,202,275","28,575","24,288,750",0,"800,100","85,725","542,925","31,575,375","257,175","8,601,075","1,714,500",,"4,857,750","5,229,225","2,085,975","1,228,725","2,686,050"
05.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,57.91,57.34,63.00,58.09,57.93,"3,288,500","4,306,000",76,42,3.17,"56,658","179,417","321,226","156,595","310,542",1.31,24,21,"190,437,035",EU,"3,069,230","5,269,810","7,904,715","723,875","6,196,370",,"2,866,545","2,374,310","9,728,880","23,858,920","4,024,745","14,245,860","1,071,335","4,053,700","1,505,660","18,444,335","28,955","24,611,750",0,"810,740","86,865","550,145","31,995,275","260,595","8,715,455","1,737,300",,"4,922,350","5,298,765","2,113,715","1,245,065","2,721,770"
02.07.2021,11:00,Auction 4. Period DE,T3PA,successful,57.11,56.48,62.00,57.29,57.11,"2,651,000","3,735,000",82,41,3.15,"45,549","143,654","190,206","126,238","177,246",1.41,26,21,"151,398,610",DE,,,,,,"151,398,610",,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,58.01,57.00,70.00,58.12,57.81,"3,288,500","4,736,000",82,31,3.04,"57,756","175,407","252,919","156,595","207,536",1.44,27,21,"190,765,885",EU,"3,074,530","5,278,910","7,918,365","725,125","6,207,070",,"2,871,495","2,378,410","9,745,680","23,900,120","4,031,695","14,270,460","1,073,185","4,060,700","1,508,260","18,476,185","29,005","24,654,250",0,"812,140","87,015","551,095","32,050,525","261,045","8,730,505","1,740,300",,"4,930,850","5,307,915","2,117,365","1,247,215","2,726,470"
30.06.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,55.57,50.00,59.50,55.72,55.64,"2,575,000","3,242,000",70,45,2.69,"46,314","124,692","189,930","128,750","205,835",1.26,26,20,"143,092,750",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,092,750",,,,,
29.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,55.39,50.00,59.00,55.42,55.39,"3,290,000","4,338,500",85,43,3.40,"51,041","173,540","316,703","164,500","328,567",1.32,25,20,"182,233,100",EU,"2,935,670","5,040,490","7,560,735","692,375","5,926,730",,"2,741,805","2,270,990","9,305,520","22,820,680","3,849,605","13,625,940","1,024,715","3,877,300","1,440,140","17,641,715","27,695","23,540,750","83,085","775,460","83,085","526,205","30,602,975","249,255","8,336,195","1,661,700",,"4,708,150","5,068,185","2,021,735","1,190,885","2,603,330"
28.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,55.06,50.00,60.00,55.10,55.05,"3,288,500","4,190,000",90,43,3.21,"46,556","149,643","251,001","156,595","240,602",1.27,28,21,"181,064,810",EU,"2,918,180","5,010,460","7,515,690","688,250","5,891,420",,"2,725,470","2,257,460","9,250,080","22,684,720","3,826,670","13,544,760","1,018,610","3,854,200","1,431,560","17,536,610","27,530","23,400,500",0,"770,840","82,590","523,070","30,420,650","247,770","8,286,530","1,651,800",,"4,680,100","5,037,990","2,009,690","1,183,790","2,587,820"
25.06.2021,11:00,Auction 4. Period DE,T3PA,successful,55.69,50.00,60.00,55.41,55.32,"2,651,000","5,054,000",77,21,2.85,"65,636","187,185","321,796","189,357","333,147",1.91,27,14,"147,634,190",DE,,,,,,"147,634,190",,,,,,,,,,,,,,,,,,,,,,,,,,
24.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,54.85,50.00,60.00,54.76,54.64,"3,288,500","4,999,000",84,31,3.11,"59,512","185,148","302,982","156,595","283,512",1.52,27,21,"180,374,225",EU,"2,907,050","4,991,350","7,487,025","685,625","5,868,950",,"2,715,075","2,248,850","9,214,800","22,598,200","3,812,075","13,493,100","1,014,725","3,839,500","1,426,100","17,469,725","27,425","23,311,250",0,"767,900","82,275","521,075","30,304,625","246,825","8,254,925","1,645,500",,"4,662,250","5,018,775","2,002,025","1,179,275","2,577,950"
23.06.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,53.62,50.00,58.00,53.77,53.62,"2,575,000","3,500,000",74,36,3.08,"47,297","145,833","188,737","151,471","201,255",1.36,24,17,"138,071,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,071,500",,,,,
22.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,52.97,50.00,58.00,53.12,52.96,"3,288,500","4,365,500",84,40,3.11,"51,970","161,685","240,929","149,477","218,318",1.33,27,22,"174,191,845",EU,"2,807,410","4,820,270","7,230,405","662,125","5,667,790",,"2,622,015","2,171,770","8,898,960","21,823,640","3,681,415","13,030,620","979,945","3,707,900","1,377,220","16,870,945","26,485","22,512,250",0,"741,580","79,455","503,215","29,265,925","238,365","7,971,985","1,589,100",,"4,502,450","4,846,755","1,933,405","1,138,855","2,489,590"
21.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,52.09,49.06,57.00,52.03,51.91,"3,288,500","4,850,500",85,29,3.04,"57,065","173,232","268,762","193,441","241,843",1.47,28,17,"171,297,965",EU,"2,760,770","4,740,190","7,110,285","651,125","5,573,630",,"2,578,455","2,135,690","8,751,120","21,461,080","3,620,255","12,814,140","963,665","3,646,300","1,354,340","16,590,665","26,045","22,138,250",0,"729,260","78,135","494,855","28,779,725","234,405","7,839,545","1,562,700",,"4,427,650","4,766,235","1,901,285","1,119,935","2,448,230"
18.06.2021,11:01,Auction 4. Period DE,T3PA,successful,51.51,49.06,57.00,51.48,51.36,"2,651,000","3,749,000",83,32,2.96,"45,169","133,893","210,714","132,550","220,068",1.41,28,20,"136,553,010",DE,,,,,,"136,553,010",,,,,,,,,,,,,,,,,,,,,,,,,,
17.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,50.84,49.06,56.00,50.84,50.76,"3,288,500","4,528,500",85,36,3.04,"53,276","161,732","248,912","149,477","240,216",1.38,28,22,"167,187,340",EU,"2,694,520","4,626,440","6,939,660","635,500","5,439,880",,"2,516,580","2,084,440","8,541,120","20,946,080","3,533,380","12,506,640","940,540","3,558,800","1,321,840","16,192,540","25,420","21,607,000",0,"711,760","76,260","482,980","28,089,100","228,780","7,651,420","1,525,200",,"4,321,400","4,651,860","1,855,660","1,093,060","2,389,480"
16.06.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,50.83,49.06,57.00,51.08,50.82,"2,575,000","3,636,500",87,42,3.22,"41,799","134,685","251,354","128,750","258,534",1.41,27,20,"130,887,250",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"130,887,250",,,,,
15.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,51.18,1.12,58.00,50.80,51.17,"3,288,500","4,365,500",84,42,3.36,"51,970","174,620","275,356","156,595","247,518",1.33,25,21,"168,305,430",EU,"2,712,540","4,657,380","6,986,070","639,750","5,476,260",,"2,533,410","2,098,380","8,598,240","21,086,160","3,557,010","12,590,280","946,830","3,582,600","1,330,680","16,300,830","25,590","21,751,500",0,"716,520","76,770","486,210","28,276,950","230,310","7,702,590","1,535,400",,"4,350,300","4,682,970","1,868,070","1,100,370","2,405,460"
14.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,53.60,52.44,58.80,53.68,53.50,"3,288,500","5,661,000",86,36,3.31,"65,826","217,731","428,752","182,694","269,647",1.72,26,18,"176,263,600",EU,"2,840,800","4,877,600","7,316,400","670,000","5,735,200",,"2,653,200","2,197,600","9,004,800","22,083,200","3,725,200","13,185,600","991,600","3,752,000","1,393,600","17,071,600","26,800","22,780,000",0,"750,400","80,400","509,200","29,614,000","241,200","8,066,800","1,608,000",,"4,556,000","4,904,400","1,956,400","1,152,400","2,519,200"
11.06.2021,11:01,Auction 4. Period DE,T3PA,successful,53.12,48.50,59.00,53.24,53.15,"2,651,000","4,255,000",75,39,3.00,"56,733","170,200","306,434","132,550","191,271",1.61,25,20,"140,821,120",DE,,,,,,"140,821,120",,,,,,,,,,,,,,,,,,,,,,,,,,
10.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,53.30,38.50,59.00,53.12,53.15,"3,288,500","4,777,500",96,37,3.31,"49,766","164,741","245,848","164,425","249,902",1.45,29,20,"175,277,050",EU,"2,824,900","4,850,300","7,275,450","666,250","5,703,100",,"2,638,350","2,185,300","8,954,400","21,959,600","3,704,350","13,111,800","986,050","3,731,000","1,385,800","16,976,050","26,650","22,652,500",0,"746,200","79,950","506,350","29,448,250","239,850","8,021,650","1,599,000",,"4,530,500","4,876,950","1,945,450","1,145,950","2,505,100"
09.06.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,53.70,48.50,58.00,53.32,53.29,"2,575,000","4,263,000",83,22,2.96,"51,361","152,250","238,758","198,077","243,486",1.66,28,13,"138,277,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,277,500",,,,,
08.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,52.03,49.06,57.00,52.14,52.23,"3,288,500","4,174,500",90,60,3.46,"46,383","160,558","291,829","156,595","252,132",1.27,26,21,"171,100,655",EU,"2,757,590","4,734,730","7,102,095","650,375","5,567,210",,"2,575,485","2,133,230","8,741,040","21,436,360","3,616,085","12,799,380","962,555","3,642,100","1,352,780","16,571,555","26,015","22,112,750",0,"728,420","78,045","494,285","28,746,575","234,135","7,830,515","1,560,900",,"4,422,550","4,760,745","1,899,095","1,118,645","2,445,410"
07.06.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,48.56,37.00,54.00,49.07,49.25,"3,288,500","5,564,000",98,79,3.77,"56,776","214,000","389,217","137,021","188,260",1.69,26,24,"159,689,560",EU,"2,573,680","4,418,960","6,628,440","607,000","5,195,920",,"2,403,720","1,990,960","8,158,080","20,006,720","3,374,920","11,945,760","898,360","3,399,200","1,262,560","15,466,360","24,280","20,638,000",0,"679,840","72,840","461,320","26,829,400","218,520","7,308,280","1,456,800",,"4,127,600","4,443,240","1,772,440","1,044,040","2,282,320"
04.06.2021,11:01,Auction 4. Period DE,T3PA,successful,49.55,48.51,56.00,49.87,49.54,"2,651,000","4,481,500",71,35,3.23,"63,120","203,705","320,644","132,550","209,880",1.69,22,20,"131,357,050",DE,,,,,,"131,357,050",,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,51.90,49.46,58.00,51.90,51.76,"3,288,500","5,760,500",71,26,2.96,"81,134","240,021","430,552","182,694","288,654",1.75,24,18,"170,673,150",EU,"2,750,700","4,722,900","7,084,350","648,750","5,553,300",,"2,569,050","2,127,900","8,719,200","21,382,800","3,607,050","12,767,400","960,150","3,633,000","1,349,400","16,530,150","25,950","22,057,500",0,"726,600","77,850","493,050","28,674,750","233,550","7,810,950","1,557,000",,"4,411,500","4,748,850","1,894,350","1,115,850","2,439,300"
02.06.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,51.50,50.41,57.00,51.55,51.38,"2,575,000","3,932,000",67,23,2.91,"58,687","170,957","227,694","160,938","200,638",1.53,23,16,"132,612,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,612,500",,,,,
01.06.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,52.58,49.56,60.00,52.87,52.76,"3,288,500","4,139,500",68,46,3.09,"60,875","188,159","311,436","173,079","315,598",1.26,22,19,"172,909,330",EU,"2,786,740","4,784,780","7,177,170","657,250","5,626,060",,"2,602,710","2,155,780","8,833,440","21,662,960","3,654,310","12,934,680","972,730","3,680,600","1,367,080","16,746,730","26,290","22,346,500",0,"736,120","78,870","499,510","29,050,450","236,610","7,913,290","1,577,400",,"4,469,300","4,811,070","1,919,170","1,130,470","2,471,260"
28.05.2021,11:00,Auction 4. Period DE,T3PA,successful,51.08,49.50,57.00,51.17,51.05,"2,651,000","4,312,500",80,36,3.20,"53,906","172,500","337,055","139,526","230,291",1.63,25,19,"135,413,080",DE,,,,,,"135,413,080",,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,52.11,50.86,60.00,52.41,52.15,"3,288,500","4,850,000",76,40,3.04,"63,816","194,000","285,720","149,477","215,715",1.47,25,22,"171,363,735",EU,"2,761,830","4,742,010","7,113,015","651,375","5,575,770",,"2,579,445","2,136,510","8,754,480","21,469,320","3,621,645","12,819,060","964,035","3,647,700","1,354,860","16,597,035","26,055","22,146,750",0,"729,540","78,165","495,045","28,790,775","234,495","7,842,555","1,563,300",,"4,429,350","4,768,065","1,902,015","1,120,365","2,449,170"
26.05.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,54.07,31.00,59.00,52.75,53.96,"2,575,000","4,608,500",78,31,3.55,"59,083","209,477","271,784","171,667","201,001",1.79,22,15,"139,230,250",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"139,230,250",,,,,
25.05.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,53.09,31.00,58.00,52.00,53.35,"3,288,500","4,068,000",66,52,3.14,"61,636","193,714","296,196","173,079","268,032",1.24,21,19,"174,586,465",EU,"2,813,770","4,831,190","7,246,785","663,625","5,680,630",,"2,627,955","2,176,690","8,919,120","21,873,080","3,689,755","13,060,140","982,165","3,716,300","1,380,340","16,909,165","26,545","22,563,250",0,"743,260","79,635","504,355","29,332,225","238,905","7,990,045","1,592,700",,"4,512,650","4,857,735","1,937,785","1,141,435","2,495,230"
21.05.2021,11:00,Auction 4. Period DE,T3PA,successful,52.71,36.00,58.00,52.03,52.67,"2,651,000","4,421,000",74,35,3.22,"59,743","192,217","300,411","139,526","255,099",1.67,23,19,"139,734,210",DE,,,,,,"139,734,210",,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,50.84,0.01,57.00,50.51,50.98,"3,288,500","4,323,500",84,55,3.00,"51,470","154,411","329,288","131,540","288,669",1.31,28,25,"167,187,340",EU,"2,694,520","4,626,440","6,939,660","635,500","5,439,880",,"2,516,580","2,084,440","8,541,120","20,946,080","3,533,380","12,506,640","940,540","3,558,800","1,321,840","16,192,540","25,420","21,607,000",0,"711,760","76,260","482,980","28,089,100","228,780","7,651,420","1,525,200",,"4,321,400","4,651,860","1,855,660","1,093,060","2,389,480"
19.05.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,52.12,51.30,57.00,52.33,52.13,"2,575,000","4,200,000",78,40,3.25,"53,846","175,000","363,694","122,619","321,948",1.63,24,21,"134,209,000",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"134,209,000",,,,,
18.05.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,55.53,54.87,59.00,55.69,55.52,"3,288,500","4,820,500",84,41,3.65,"57,387","209,587","459,722","173,079","392,775",1.47,23,19,"182,610,405",EU,"2,943,090","5,053,230","7,579,845","694,125","5,941,710",,"2,748,735","2,276,730","9,329,040","22,878,360","3,859,335","13,660,380","1,027,305","3,887,100","1,443,780","17,686,305","27,765","23,600,250",0,"777,420","83,295","527,535","30,680,325","249,885","8,357,265","1,665,900",,"4,720,050","5,080,995","2,026,845","1,193,895","2,609,910"
17.05.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,55.57,53.00,57.50,55.64,55.62,"3,288,500","4,915,500",74,43,3.36,"66,426","223,432","383,790","173,079","244,814",1.49,22,19,"182,741,945",EU,"2,945,210","5,056,870","7,585,305","694,625","5,945,990",,"2,750,715","2,278,370","9,335,760","22,894,840","3,862,115","13,670,220","1,028,045","3,889,900","1,444,820","17,699,045","27,785","23,617,250",0,"777,980","83,355","527,915","30,702,425","250,065","8,363,285","1,667,100",,"4,723,450","5,084,655","2,028,305","1,194,755","2,611,790"
12.05.2021,15:00,EUAA Auction CAP3 EU,EAA3,successful,54.22,53.87,54.65,54.18,54.17,"614,500","1,949,500",26,9,4.33,"74,981","324,917","213,955","122,900","61,471",3.17,6,5,"33,318,190",EU,"867,520","1,192,840","406,650","298,210","433,760",,"1,057,290","108,440","2,141,690","6,099,750","867,520","4,635,810","325,320","406,650","786,190",,"379,540","5,042,460",0,"189,770","135,550","216,880",,"243,990","1,762,150","1,735,040",,"1,599,490","759,080","1,518,160","54,220","54,220"
12.05.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,53.95,52.76,60.00,53.89,53.64,"2,575,000","5,072,500",78,20,3.12,"65,032","202,900","359,092","198,077","394,038",1.97,25,13,"138,921,250",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,921,250",,,,,
11.05.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,51.59,51.03,57.00,51.79,51.55,"3,288,500","5,115,000",81,34,3.52,"63,148","222,391","371,720","193,441","319,419",1.56,23,17,"169,653,715",EU,"2,734,270","4,694,690","7,042,035","644,875","5,520,130",,"2,553,705","2,115,190","8,667,120","21,255,080","3,585,505","12,691,140","954,415","3,611,300","1,341,340","16,431,415","25,795","21,925,750",0,"722,260","77,385","490,105","28,503,475","232,155","7,764,295","1,547,700",,"4,385,150","4,720,485","1,883,035","1,109,185","2,424,730"
10.05.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,51.81,50.41,57.00,51.73,51.50,"3,288,500","5,830,000",105,28,3.89,"55,524","215,926","331,669","219,233","282,790",1.77,27,15,"170,377,185",EU,"2,745,930","4,714,710","7,072,065","647,625","5,543,670",,"2,564,595","2,124,210","8,704,080","21,345,720","3,600,795","12,745,260","958,485","3,626,700","1,347,060","16,501,485","25,905","22,019,250",0,"725,340","77,715","492,195","28,625,025","233,145","7,797,405","1,554,300",,"4,403,850","4,740,615","1,891,065","1,113,915","2,435,070"
07.05.2021,11:00,Auction 4. Period DE,T3PA,successful,49.46,48.21,55.00,49.58,49.32,"2,651,000","5,248,500",97,31,3.59,"54,108","194,389","347,307","147,278","264,307",1.98,27,18,"131,118,460",DE,,,,,,"131,118,460",,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,49.45,48.71,55.00,49.68,49.32,"3,288,500","5,242,000",85,30,3.54,"61,671","218,417","349,564","193,441","297,591",1.59,24,17,"162,616,325",EU,"2,620,850","4,499,950","6,749,925","618,125","5,291,150",,"2,447,775","2,027,450","8,307,600","20,373,400","3,436,775","12,164,700","914,825","3,461,500","1,285,700","15,749,825","24,725","21,016,250",0,"692,300","74,175","469,775","27,321,125","222,525","7,442,225","1,483,500",,"4,203,250","4,524,675","1,804,925","1,063,175","2,324,150"
05.05.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,48.62,46.00,55.00,48.82,48.55,"2,575,000","4,005,500",77,36,3.50,"52,019","182,068","270,030","151,471","240,932",1.56,22,17,"125,196,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"125,196,500",,,,,
04.05.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,49.33,48.71,55.00,49.60,49.31,"3,288,500","4,671,500",83,39,3.32,"56,283","186,860","290,346","164,425","258,468",1.42,25,20,"162,221,705",EU,"2,614,490","4,489,030","6,733,545","616,625","5,278,310",,"2,441,835","2,022,530","8,287,440","20,323,960","3,428,435","12,135,180","912,605","3,453,100","1,282,580","15,711,605","24,665","20,965,250",0,"690,620","73,995","468,635","27,254,825","221,985","7,424,165","1,479,900",,"4,193,050","4,513,695","1,800,545","1,060,595","2,318,510"
30.04.2021,11:00,Auction 4. Period DE,T3PA,successful,47.68,46.00,53.00,48.04,47.95,"2,651,000","4,435,000",85,70,3.54,"52,176","184,792","288,947","120,500","168,193",1.67,24,22,"126,399,680",DE,,,,,,"126,399,680",,,,,,,,,,,,,,,,,,,,,,,,,,
29.04.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,47.25,46.46,50.00,47.27,47.10,"3,288,500","5,239,500",88,28,3.83,"59,540","227,804","361,007","219,233","327,276",1.59,23,15,"155,381,625",EU,"2,504,250","4,299,750","6,449,625","590,625","5,055,750",,"2,338,875","1,937,250","7,938,000","19,467,000","3,283,875","11,623,500","874,125","3,307,500","1,228,500","15,049,125","23,625","20,081,250",0,"661,500","70,875","448,875","26,105,625","212,625","7,111,125","1,417,500",,"4,016,250","4,323,375","1,724,625","1,015,875","2,220,750"
28.04.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,48.00,47.00,49.20,48.03,48.01,"2,575,000","3,797,500",72,41,3.60,"52,743","189,875","279,926","160,938","225,952",1.47,20,16,"123,600,000",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"123,600,000",,,,,
27.04.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,46.55,45.81,49.03,46.56,46.45,"3,288,500","5,013,500",89,30,3.42,"56,331","192,827","345,709","173,079","316,700",1.52,26,19,"153,079,675",EU,"2,467,150","4,236,050","6,354,075","581,875","4,980,850",,"2,304,225","1,908,550","7,820,400","19,178,600","3,235,225","11,451,300","861,175","3,258,500","1,210,300","14,826,175","23,275","19,783,750",0,"651,700","69,825","442,225","25,718,875","209,475","7,005,775","1,396,500",,"3,956,750","4,259,325","1,699,075","1,000,825","2,187,850"
26.04.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,47.24,46.71,49.00,47.35,47.25,"3,288,500","4,550,500",88,46,3.52,"51,710","182,020","334,220","164,425","290,292",1.38,25,20,"155,348,740",EU,"2,503,720","4,298,840","6,448,260","590,500","5,054,680",,"2,338,380","1,936,840","7,936,320","19,462,880","3,283,180","11,621,040","873,940","3,306,800","1,228,240","15,045,940","23,620","20,077,000",0,"661,360","70,860","448,780","26,100,100","212,580","7,109,620","1,417,200",,"4,015,400","4,322,460","1,724,260","1,015,660","2,220,280"
23.04.2021,11:00,Auction 4. Period DE,T3PA,successful,46.41,35.81,48.00,46.28,46.38,"2,651,000","3,812,500",85,33,4.05,"44,853","181,548","278,092","165,688","257,389",1.44,21,16,"123,032,910",DE,,,,,,"123,032,910",,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,46.60,45.00,49.00,46.45,46.37,"3,288,500","5,532,000",89,26,3.56,"62,157","221,280","381,271","234,893","361,329",1.68,25,14,"153,244,100",EU,"2,469,800","4,240,600","6,360,900","582,500","4,986,200",,"2,306,700","1,910,600","7,828,800","19,199,200","3,238,700","11,463,600","862,100","3,262,000","1,211,600","14,842,100","23,300","19,805,000",0,"652,400","69,900","442,700","25,746,500","209,700","7,013,300","1,398,000",,"3,961,000","4,263,900","1,700,900","1,001,900","2,190,200"
21.04.2021,11:01,Auction 4. Period CAP3 PL,T3PA,successful,44.85,43.00,47.00,44.94,44.85,"2,575,000","3,682,000",80,42,3.48,"46,025","160,087","243,602","151,471","218,403",1.43,23,17,"115,488,750",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,488,750",,,,,
20.04.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,44.20,43.00,46.01,44.00,43.91,"3,288,500","5,574,500",104,27,3.71,"53,601","199,089","342,144","252,962","314,059",1.70,28,13,"145,351,700",EU,"2,342,600","4,022,200","6,033,300","552,500","4,729,400",,"2,187,900","1,812,200","7,425,600","18,210,400","3,071,900","10,873,200","817,700","3,094,000","1,149,200","14,077,700","22,100","18,785,000",0,"618,800","66,300","419,900","24,420,500","198,900","6,652,100","1,326,000",,"3,757,000","4,044,300","1,613,300","950,300","2,077,400"
19.04.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,44.66,43.00,47.01,44.69,44.60,"3,288,500","4,902,000",95,41,3.65,"51,600","188,538","329,663","173,079","305,359",1.49,26,19,"146,864,410",EU,"2,366,980","4,064,060","6,096,090","558,250","4,778,620",,"2,210,670","1,831,060","7,502,880","18,399,920","3,103,870","10,986,360","826,210","3,126,200","1,161,160","14,224,210","22,330","18,980,500",0,"625,240","66,990","424,270","24,674,650","200,970","6,721,330","1,339,800",,"3,796,100","4,086,390","1,630,090","960,190","2,099,020"
16.04.2021,11:00,Auction 4. Period DE,T3PA,successful,44.50,39.00,46.00,44.44,44.41,"2,651,000","4,618,500",71,29,3.23,"65,049","209,932","317,430","155,941","300,582",1.74,22,17,"117,969,500",DE,,,,,,"117,969,500",,,,,,,,,,,,,,,,,,,,,,,,,,
