,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,www.eex.com/en/products/environmental-markets/emissions-auctions/overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.06.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.92,24.00,31.00,25.15,24.83,"2,775,500","4,827,500",73,25,2.92,"66,130","193,100","269,516","173,469","241,394",1.74,25,16,"69,165,460",EU,"1,345,680","2,641,520","3,289,440","174,440","4,709,880",,"1,208,620","1,059,100","3,775,380","9,183,020","1,619,800","5,332,880","535,780","1,694,560","909,580","323,960","9,519,440","12,460","623,000","124,600","311,500","112,140","3,264,520","6,653,640",,"1,893,920","5,607,000","922,040","485,940","1,831,620",
11.06.2019,11:01,Auction 3. Period CAP2-EU,T3PA,25.12,15.00,30.00,24.99,24.97,"2,775,500","5,303,500",89,25,3.18,"59,590","189,411","230,580","146,079","210,157",1.91,28,19,"69,720,560",EU,"1,356,480","2,662,720","3,315,840","175,840","4,747,680",,"1,218,320","1,067,600","3,805,680","9,256,720","1,632,800","5,375,680","540,080","1,708,160","916,880","326,560","9,595,840","12,560","628,000","125,600","314,000","113,040","3,290,720","6,707,040",,"1,909,120","5,652,000","929,440","489,840","1,846,320",
07.06.2019,11:00,Auction 3. Period DE,T3PA,24.24,23.68,30.00,24.31,24.10,"3,209,000","5,409,500",79,25,3.59,"68,475","245,886","376,192","213,933","338,414",1.69,22,15,"77,786,160",DE,,,,,,"77,786,160",,,,,,,,,,,,,,,,,,,,,,,,,
06.06.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.07,23.50,30.00,24.17,23.95,"2,775,500","5,185,000",96,27,3.69,"54,010","199,423","297,807","163,265","248,915",1.87,26,17,"66,806,285",EU,"1,299,780","2,551,420","3,177,240","168,490","4,549,230",,"1,167,395","1,022,975","3,646,605","8,869,795","1,564,550","5,150,980","517,505","1,636,760","878,555","312,910","9,194,740","12,035","601,750","120,350","300,875","108,315","3,153,170","6,426,690",,"1,829,320","5,415,750","890,590","469,365","1,769,145",
05.06.2019,11:00,Auction 3. Period CAP2-PL,T3PA,24.42,23.89,30.00,24.54,24.32,"4,428,500","7,045,000",82,32,3.28,"85,915","281,800","387,935","276,781","326,407",1.59,25,16,"108,143,970",PL,,,,,,,,,,,,,,,,,,,,,,,,,"108,143,970",,,,,,
04.06.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.86,23.34,30.00,23.93,23.78,"2,775,500","4,441,500",81,33,2.89,"54,833","158,625","203,112","138,775","175,227",1.60,28,20,"66,223,430",EU,"1,288,440","2,529,160","3,149,520","167,020","4,509,540",,"1,157,210","1,014,050","3,614,790","8,792,410","1,550,900","5,106,040","512,990","1,622,480","870,890","310,180","9,114,520","11,930","596,500","119,300","298,250","107,370","3,125,660","6,370,620",,"1,813,360","5,368,500","882,820","465,270","1,753,710",
03.06.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.96,23.65,30.00,24.21,24.01,"2,775,500","4,395,000",83,49,2.86,"52,952","151,552","191,318","120,674","167,949",1.58,29,23,"66,500,980",EU,"1,293,840","2,539,760","3,162,720","167,720","4,528,440",,"1,162,060","1,018,300","3,629,940","8,829,260","1,557,400","5,127,440","515,140","1,629,280","874,540","311,480","9,152,720","11,980","599,000","119,800","299,500","107,820","3,138,760","6,397,320",,"1,820,960","5,391,000","886,520","467,220","1,761,060",
28.05.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.30,13.50,30.00,24.74,25.17,"2,495,000","5,199,000",82,23,3.42,"63,402","216,625","275,376","146,765","194,988",2.08,24,17,"63,123,500",EU,"1,366,200","2,681,800","3,339,600","177,100","4,781,700",,"1,227,050","1,075,250","3,832,950","9,323,050","1,644,500","5,414,200","543,950","1,720,400","923,450",,"9,664,600",,"632,500","126,500","316,250","113,850","3,314,300",,,"1,922,800","5,692,500","936,100","493,350","1,859,550",
24.05.2019,11:01,Auction 3. Period DE,T3PA,25.61,13.50,35.00,25.41,25.65,"3,209,000","5,282,000",86,50,3.31,"61,419","203,154","265,166","145,864","211,924",1.65,26,22,"82,182,490",DE,,,,,,"82,182,490",,,,,,,,,,,,,,,,,,,,,,,,,
23.05.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.05,13.50,35.00,25.74,26.05,"2,495,000","4,540,500",84,43,3.23,"54,054","174,635","223,258","99,800","151,428",1.82,26,25,"64,994,750",EU,"1,406,700","2,761,300","3,438,600","182,350","4,923,450",,"1,263,425","1,107,125","3,946,575","9,599,425","1,693,250","5,574,700","560,075","1,771,400","950,825",,"9,951,100",,"651,250","130,250","325,625","117,225","3,412,550",,,"1,979,800","5,861,250","963,850","507,975","1,914,675",
22.05.2019,15:00,EUAA Auction CAP2-PL,EAA3,25.65,25.23,25.82,25.51,25.53,"112,500","512,500",29,4,4.83,"17,672","85,417","31,801","56,250","18,750",4.56,6,2,"2,885,625",PL,,,,,,,,,,,,,,,,,,,,,,,,,"2,885,625",,,,,,
22.05.2019,11:00,Auction 3. Period CAP2-PL,T3PA,25.40,13.50,31.00,25.05,25.24,"4,428,500","9,305,500",105,32,4.38,"88,624","387,729","556,212","260,500","313,843",2.10,24,17,"112,483,900",PL,,,,,,,,,,,,,,,,,,,,,,,,,"112,483,900",,,,,,
21.05.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.01,13.50,30.00,24.57,24.94,"2,495,000","5,328,000",94,36,3.36,"56,681","190,286","276,592","118,810","165,428",2.14,28,21,"62,399,950",EU,"1,350,540","2,651,060","3,301,320","175,070","4,726,890",,"1,212,985","1,062,925","3,789,015","9,216,185","1,625,650","5,352,140","537,715","1,700,680","912,865",,"9,553,820",,"625,250","125,050","312,625","112,545","3,276,310",,,"1,900,760","5,627,250","925,370","487,695","1,838,235",
20.05.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.91,13.50,30.00,24.48,24.75,"2,495,000","6,123,000",112,28,3.86,"54,670","211,138","265,551","118,810","137,368",2.45,29,21,"62,150,450",EU,"1,345,140","2,640,460","3,288,120","174,370","4,707,990",,"1,208,135","1,058,675","3,773,865","9,179,335","1,619,150","5,330,740","535,565","1,693,880","909,215",,"9,515,620",,"622,750","124,550","311,375","112,095","3,263,210",,,"1,893,160","5,604,750","921,670","485,745","1,830,885",
17.05.2019,11:00,Auction 3. Period DE,T3PA,25.01,13.50,30.00,24.67,24.99,"3,209,000","5,467,000",89,40,3.71,"61,427","227,792","308,488","145,864","207,627",1.70,24,22,"80,257,090",DE,,,,,,"80,257,090",,,,,,,,,,,,,,,,,,,,,,,,,
16.05.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.81,13.50,30.00,25.39,25.81,"2,495,000","4,058,500",82,39,3.28,"49,494","162,340","203,680","124,750","147,356",1.63,25,20,"64,395,950",EU,"1,393,740","2,735,860","3,406,920","180,670","4,878,090",,"1,251,785","1,096,925","3,910,215","9,510,985","1,677,650","5,523,340","554,915","1,755,080","942,065",,"9,859,420",,"645,250","129,050","322,625","116,145","3,381,110",,,"1,961,560","5,807,250","954,970","503,295","1,897,035",
14.05.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.03,24.10,30.00,25.11,24.89,"2,495,000","4,750,500",92,28,3.17,"51,636","163,810","205,894","118,810","136,618",1.90,29,21,"62,449,850",EU,"1,351,620","2,653,180","3,303,960","175,210","4,730,670",,"1,213,955","1,063,775","3,792,045","9,223,555","1,626,950","5,356,420","538,145","1,702,040","913,595",,"9,561,460",,"625,750","125,150","312,875","112,635","3,278,930",,,"1,902,280","5,631,750","926,110","488,085","1,839,705",
13.05.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.25,13.50,31.00,24.97,25.19,"2,495,000","4,412,500",86,36,3.74,"51,308","191,848","232,370","146,765","182,599",1.77,23,17,"62,998,750",EU,"1,363,500","2,676,500","3,333,000","176,750","4,772,250",,"1,224,625","1,073,125","3,825,375","9,304,625","1,641,250","5,403,500","542,875","1,717,000","921,625",,"9,645,500",,"631,250","126,250","315,625","113,625","3,307,750",,,"1,919,000","5,681,250","934,250","492,375","1,855,875",
10.05.2019,11:00,Auction 3. Period DE,T3PA,26.35,0.01,32.00,25.41,26.30,"3,209,000","5,234,000",86,40,3.58,"60,860","218,083","289,163","168,895","225,873",1.63,24,19,"84,557,150",DE,,,,,,"84,557,150",,,,,,,,,,,,,,,,,,,,,,,,,
09.05.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.81,0.01,31.00,25.97,26.79,"2,495,000","4,863,500",83,38,3.32,"58,596","194,540","231,918","131,316","157,905",1.95,25,19,"66,890,950",EU,"1,447,740","2,841,860","3,538,920","187,670","5,067,090",,"1,300,285","1,139,425","4,061,715","9,879,485","1,742,650","5,737,340","576,415","1,823,080","978,565",,"10,241,420",,"670,250","134,050","335,125","120,645","3,512,110",,,"2,037,560","6,032,250","991,970","522,795","1,970,535",
08.05.2019,15:00,EUAA Auction CAP2-EU,EAA3,26.50,25.95,26.85,26.41,26.41,"640,000","2,113,500",46,14,4.60,"45,946","211,350","155,357","91,429","86,292",3.30,10,7,"16,960,000",EU,"503,500","583,000","198,750","304,750","251,750",,"583,000","39,750","1,073,250","3,498,000","450,500","2,610,250","132,500","212,000","463,750",,"3,087,250",,"66,250","53,000","119,250","119,250","795,000",,,"622,750","344,500","781,750","26,500","39,750",
08.05.2019,11:00,Auction 3. Period CAP2-PL,T3PA,25.82,13.50,31.00,25.44,25.74,"4,428,500","9,347,000",96,34,3.84,"97,365","373,880","612,754","260,500","346,824",2.11,25,17,"114,343,870",PL,,,,,,,,,,,,,,,,,,,,,,,,,"114,343,870",,,,,,
07.05.2019,11:02,Auction 3. Period CAP2-EU,T3PA,25.65,25.00,32.00,25.92,25.53,"2,495,000","4,227,000",75,26,3.57,"56,360","201,286","240,134","191,923","232,714",1.69,21,13,"63,996,750",EU,"1,385,100","2,718,900","3,385,800","179,550","4,847,850",,"1,244,025","1,090,125","3,885,975","9,452,025","1,667,250","5,489,100","551,475","1,744,200","936,225",,"9,798,300",,"641,250","128,250","320,625","115,425","3,360,150",,,"1,949,400","5,771,250","949,050","500,175","1,885,275",
03.05.2019,11:00,Auction 3. Period DE,T3PA,24.32,13.50,30.00,24.02,24.33,"3,209,000","5,766,500",92,48,3.83,"62,679","240,271","286,653","178,278","245,412",1.80,24,18,"78,042,880",DE,,,,,,"78,042,880",,,,,,,,,,,,,,,,,,,,,,,,,
02.05.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.04,13.50,30.00,24.77,25.06,"2,495,000","4,919,000",73,39,3.48,"67,384","234,238","245,429","155,938","170,388",1.97,21,16,"62,474,800",EU,"1,352,160","2,654,240","3,305,280","175,280","4,732,560",,"1,214,440","1,064,200","3,793,560","9,227,240","1,627,600","5,358,560","538,360","1,702,720","913,960",,"9,565,280",,"626,000","125,200","313,000","112,680","3,280,240",,,"1,903,040","5,634,000","926,480","488,280","1,840,440",
30.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.85,13.50,30.00,25.34,25.71,"2,495,000","5,831,500",79,25,3.59,"73,816","265,068","292,258","178,214","141,838",2.34,22,14,"64,495,750",EU,"1,395,900","2,740,100","3,412,200","180,950","4,885,650",,"1,253,725","1,098,625","3,916,275","9,525,725","1,680,250","5,531,900","555,775","1,757,800","943,525",,"9,874,700",,"646,250","129,250","323,125","116,325","3,386,350",,,"1,964,600","5,816,250","956,450","504,075","1,899,975",
29.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.81,25.60,35.00,26.16,25.90,"2,495,000","3,061,500",62,49,3.44,"49,379","170,083","158,703","138,611","126,900",1.23,18,18,"64,395,950",EU,"1,393,740","2,735,860","3,406,920","180,670","4,878,090",,"1,251,785","1,096,925","3,910,215","9,510,985","1,677,650","5,523,340","554,915","1,755,080","942,065",,"9,859,420",,"645,250","129,050","322,625","116,145","3,381,110",,,"1,961,560","5,807,250","954,970","503,295","1,897,035",
26.04.2019,11:00,Auction 3. Period DE,T3PA,26.79,13.50,30.00,26.16,26.80,"3,209,000","4,462,500",75,42,3.75,"59,500","223,125","260,917","178,278","246,058",1.39,20,18,"85,969,110",DE,,,,,,"85,969,110",,,,,,,,,,,,,,,,,,,,,,,,,
25.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,27.46,13.50,30.00,26.70,27.30,"2,495,000","5,007,000",87,25,3.63,"57,552","208,625","251,519","155,938","200,523",2.01,24,16,"68,512,700",EU,"1,482,840","2,910,760","3,624,720","192,220","5,189,940",,"1,331,810","1,167,050","4,160,190","10,119,010","1,784,900","5,876,440","590,390","1,867,280","1,002,290",,"10,489,720",,"686,500","137,300","343,250","123,570","3,597,260",,,"2,086,960","6,178,500","1,016,020","535,470","2,018,310",
24.04.2019,11:00,Auction 3. Period CAP2-PL,T3PA,27.02,13.50,30.00,26.44,27.15,"4,428,500","6,547,000",74,57,4.35,"88,473","385,118","471,435","276,781","307,611",1.48,17,16,"119,658,070",PL,,,,,,,,,,,,,,,,,,,,,,,,,"119,658,070",,,,,,
23.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,27.17,13.50,30.00,26.29,26.95,"2,495,000","4,636,000",71,17,3.55,"65,296","231,800","306,292","226,818","309,109",1.86,20,11,"67,789,150",EU,"1,467,180","2,880,020","3,586,440","190,190","5,135,130",,"1,317,745","1,154,725","4,116,255","10,012,145","1,766,050","5,814,380","584,155","1,847,560","991,705",,"10,378,940",,"679,250","135,850","339,625","122,265","3,559,270",,,"2,064,920","6,113,250","1,005,290","529,815","1,996,995",
18.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.92,13.50,28.00,25.81,26.73,"2,495,000","4,867,000",56,14,2.95,"86,911","256,158","299,386","277,222","355,360",1.95,19,9,"67,165,400",EU,"1,453,680","2,853,520","3,553,440","188,440","5,087,880",,"1,305,620","1,144,100","4,078,380","9,920,020","1,749,800","5,760,880","578,780","1,830,560","982,580",,"10,283,440",,"673,000","134,600","336,500","121,140","3,526,520",,,"2,045,920","6,057,000","996,040","524,940","1,978,620",
16.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.80,18.00,31.00,26.63,26.57,"2,495,000","6,063,000",73,19,3.32,"83,055","275,591","334,654","178,214","289,686",2.43,22,14,"66,866,000",EU,"1,447,200","2,840,800","3,537,600","187,600","5,065,200",,"1,299,800","1,139,000","4,060,200","9,875,800","1,742,000","5,735,200","576,200","1,822,400","978,200",,"10,237,600",,"670,000","134,000","335,000","120,600","3,510,800",,,"2,036,800","6,030,000","991,600","522,600","1,969,800",
15.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,27.00,26.10,31.00,26.95,26.56,"2,495,000","5,638,000",91,16,3.96,"61,956","245,130","338,817","311,875","407,791",2.26,23,8,"67,365,000",EU,"1,458,000","2,862,000","3,564,000","189,000","5,103,000",,"1,309,500","1,147,500","4,090,500","9,949,500","1,755,000","5,778,000","580,500","1,836,000","985,500",,"10,314,000",,"675,000","135,000","337,500","121,500","3,537,000",,,"2,052,000","6,075,000","999,000","526,500","1,984,500",
12.04.2019,11:00,Auction 3. Period DE,T3PA,26.72,13.50,32.00,26.07,26.86,"3,209,000","4,489,500",62,46,3.26,"72,411","236,289","328,572","188,765","251,110",1.40,19,17,"85,744,480",DE,,,,,,"85,744,480",,,,,,,,,,,,,,,,,,,,,,,,,
11.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.88,13.50,32.00,25.28,25.74,"2,495,000","4,638,500",67,23,3.05,"69,231","210,841","235,997","155,938","163,733",1.86,22,16,"64,570,600",EU,"1,397,520","2,743,280","3,416,160","181,160","4,891,320",,"1,255,180","1,099,900","3,920,820","9,536,780","1,682,200","5,538,320","556,420","1,759,840","944,620",,"9,886,160",,"647,000","129,400","323,500","116,460","3,390,280",,,"1,966,880","5,823,000","957,560","504,660","1,902,180",
10.04.2019,11:00,Auction 3. Period CAP2-PL,T3PA,26.21,13.50,31.00,25.72,26.28,"4,428,500","6,978,000",76,51,4.00,"91,816","367,263","520,929","295,233","336,373",1.58,19,15,"116,070,985",PL,,,,,,,,,,,,,,,,,,,,,,,,,"116,070,985",,,,,,
09.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.20,13.50,30.00,24.83,25.00,"2,495,000","6,585,000",98,25,3.92,"67,194","263,400","323,485","178,214","254,415",2.64,25,14,"62,874,000",EU,"1,360,800","2,671,200","3,326,400","176,400","4,762,800",,"1,222,200","1,071,000","3,817,800","9,286,200","1,638,000","5,392,800","541,800","1,713,600","919,800",,"9,626,400",,"630,000","126,000","315,000","113,400","3,301,200",,,"1,915,200","5,670,000","932,400","491,400","1,852,200",
08.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.07,13.50,28.00,23.67,23.90,"2,495,000","5,133,500",85,25,3.54,"60,394","213,896","267,007","155,938","187,051",2.06,24,16,"60,054,650",EU,"1,299,780","2,551,420","3,177,240","168,490","4,549,230",,"1,167,395","1,022,975","3,646,605","8,869,795","1,564,550","5,150,980","517,505","1,636,760","878,555",,"9,194,740",,"601,750","120,350","300,875","108,315","3,153,170",,,"1,829,320","5,415,750","890,590","469,365","1,769,145",
05.04.2019,11:00,Auction 3. Period DE,T3PA,24.17,13.50,30.00,23.68,24.12,"3,209,000","5,076,500",67,31,3.53,"75,769","267,184","360,022","229,214","308,084",1.58,19,14,"77,561,530",DE,,,,,,"77,561,530",,,,,,,,,,,,,,,,,,,,,,,,,
04.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.65,0.01,25.00,23.29,23.56,"2,495,000","4,015,500",63,24,2.74,"63,738","174,587","209,998","166,333","182,158",1.61,23,15,"59,006,750",EU,"1,277,100","2,506,900","3,121,800","165,550","4,469,850",,"1,147,025","1,005,125","3,582,975","8,715,025","1,537,250","5,061,100","508,475","1,608,200","863,225",,"9,034,300",,"591,250","118,250","295,625","106,425","3,098,150",,,"1,797,400","5,321,250","875,050","461,175","1,738,275",
02.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,21.40,13.50,25.00,21.15,21.27,"2,495,000","6,655,000",104,27,3.47,"63,990","221,833","269,376","138,611","142,251",2.67,30,18,"53,393,000",EU,"1,155,600","2,268,400","2,824,800","149,800","4,044,600",,"1,037,900","909,500","3,242,100","7,885,900","1,391,000","4,579,600","460,100","1,455,200","781,100",,"8,174,800",,"535,000","107,000","267,500","96,300","2,803,400",,,"1,626,400","4,815,000","791,800","417,300","1,572,900",
01.04.2019,11:00,Auction 3. Period CAP2-EU,T3PA,21.06,13.50,25.00,20.98,21.05,"2,495,000","4,418,500",70,34,3.33,"63,121","210,405","216,711","131,316","156,394",1.77,21,19,"52,544,700",EU,"1,137,240","2,232,360","2,779,920","147,420","3,980,340",,"1,021,410","895,050","3,190,590","7,760,610","1,368,900","4,506,840","452,790","1,432,080","768,690",,"8,044,920",,"526,500","105,300","263,250","94,770","2,758,860",,,"1,600,560","4,738,500","779,220","410,670","1,547,910",
29.03.2019,11:01,Auction 3. Period DE,T3PA,21.83,13.50,26.00,21.76,21.78,"3,209,000","5,887,500",104,39,4.52,"56,611","255,978","351,915","200,563","277,548",1.83,23,16,"70,052,470",DE,,,,,,"70,052,470",,,,,,,,,,,,,,,,,,,,,,,,,
28.03.2019,11:01,Auction 3. Period CAP2-EU,T3PA,21.55,13.50,25.00,21.36,21.56,"2,495,000","4,049,500",90,50,3.91,"44,994","176,065","178,040","124,750","136,235",1.62,23,20,"53,767,250",EU,"1,163,700","2,284,300","2,844,600","150,850","4,072,950",,"1,045,175","915,875","3,264,825","7,941,175","1,400,750","4,611,700","463,325","1,465,400","786,575",,"8,232,100",,"538,750","107,750","269,375","96,975","2,823,050",,,"1,637,800","4,848,750","797,350","420,225","1,583,925",
27.03.2019,11:00,Auction 3. Period CAP2-PL,T3PA,21.45,13.50,26.00,21.48,21.42,"4,428,500","7,093,000",103,46,4.90,"68,864","337,762","382,818","246,028","339,668",1.60,21,18,"94,991,325",PL,,,,,,,,,,,,,,,,,,,,,,,,,"94,991,325",,,,,,
26.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,21.17,13.50,25.00,20.84,20.95,"2,495,000","5,568,500",103,24,3.96,"54,063","214,173","237,356","178,214","156,027",2.23,26,14,"52,819,150",EU,"1,143,180","2,244,020","2,794,440","148,190","4,001,130",,"1,026,745","899,725","3,207,255","7,801,145","1,376,050","4,530,380","455,155","1,439,560","772,705",,"8,086,940",,"529,250","105,850","264,625","95,265","2,773,270",,,"1,608,920","4,763,250","783,290","412,815","1,555,995",
25.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,20.60,13.50,25.00,20.31,20.41,"2,495,000","6,735,500",95,22,3.96,"70,900","280,646","530,296","178,214","233,158",2.70,24,14,"51,397,000",EU,"1,112,400","2,183,600","2,719,200","144,200","3,893,400",,"999,100","875,500","3,120,900","7,591,100","1,339,000","4,408,400","442,900","1,400,800","751,900",,"7,869,200",,"515,000","103,000","257,500","92,700","2,698,600",,,"1,565,600","4,635,000","762,200","401,700","1,514,100",
22.03.2019,11:00,Auction 3. Period DE,T3PA,20.64,13.50,25.00,20.43,20.55,"3,209,000","5,563,500",95,38,3.80,"58,563","222,540","232,532","178,278","208,530",1.73,25,18,"66,233,760",DE,,,,,,"66,233,760",,,,,,,,,,,,,,,,,,,,,,,,,
21.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,21.10,13.50,30.00,20.95,21.03,"2,495,000","4,971,000",96,33,3.56,"51,781","184,111","174,660","131,316","121,114",1.99,27,19,"52,644,500",EU,"1,139,400","2,236,600","2,785,200","147,700","3,987,900",,"1,023,350","896,750","3,196,650","7,775,350","1,371,500","4,515,400","453,650","1,434,800","770,150",,"8,060,200",,"527,500","105,500","263,750","94,950","2,764,100",,,"1,603,600","4,747,500","780,700","411,450","1,550,850",
19.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,21.35,13.50,30.00,21.11,21.26,"2,495,000","4,678,000",80,35,3.20,"58,475","187,120","165,413","131,316","115,443",1.87,25,19,"53,268,250",EU,"1,152,900","2,263,100","2,818,200","149,450","4,035,150",,"1,035,475","907,375","3,234,525","7,867,475","1,387,750","4,568,900","459,025","1,451,800","779,275",,"8,155,700",,"533,750","106,750","266,875","96,075","2,796,850",,,"1,622,600","4,803,750","789,950","416,325","1,569,225",
18.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,21.50,13.50,30.00,21.21,21.42,"2,495,000","4,667,000",73,29,3.17,"63,932","202,913","219,143","138,611","195,649",1.87,23,18,"53,642,500",EU,"1,161,000","2,279,000","2,838,000","150,500","4,063,500",,"1,042,750","913,750","3,257,250","7,922,750","1,397,500","4,601,000","462,250","1,462,000","784,750",,"8,213,000",,"537,500","107,500","268,750","96,750","2,816,500",,,"1,634,000","4,837,500","795,500","419,250","1,580,250",
15.03.2019,11:00,Auction 3. Period DE,T3PA,22.77,13.50,30.00,22.57,22.63,"3,209,000","4,961,500",82,32,3.57,"60,506","215,717","281,045","213,933","292,024",1.55,23,15,"73,068,930",DE,,,,,,"73,068,930",,,,,,,,,,,,,,,,,,,,,,,,,
14.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.23,13.50,30.00,21.94,22.22,"2,495,000","4,243,500",65,31,2.95,"65,285","192,886","206,305","138,611","160,095",1.70,22,18,"55,463,850",EU,"1,200,420","2,356,380","2,934,360","155,610","4,201,470",,"1,078,155","944,775","3,367,845","8,191,755","1,444,950","4,757,220","477,945","1,511,640","811,395",,"8,491,860",,"555,750","111,150","277,875","100,035","2,912,130",,,"1,689,480","5,001,750","822,510","433,485","1,633,905",
13.03.2019,15:00,EUAA Auction CAP2-EU,EAA3,21.98,21.01,22.40,21.89,21.92,"640,000","2,253,000",45,13,4.50,"50,067","225,300","165,369","80,000","69,588",3.52,10,8,"14,067,200",EU,"417,620","483,560","164,850","252,770","208,810",,"483,560","32,970","890,190","2,901,360","373,660","2,165,030","109,900","175,840","384,650",,"2,560,670",,"54,950","43,960","98,910","98,910","659,400",,,"516,530","285,740","648,410","21,980","32,970",
13.03.2019,11:00,Auction 3. Period CAP2-PL,T3PA,21.99,13.00,25.00,21.41,21.91,"4,428,500","9,259,000",77,28,3.08,"120,247","370,360","494,600","276,781","304,066",2.09,25,16,"97,382,715",PL,,,,,,,,,,,,,,,,,,,,,,,,,"97,382,715",,,,,,
12.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.48,13.00,30.00,22.13,22.51,"2,495,000","4,066,000",70,40,2.69,"58,086","156,385","198,407","124,750","168,450",1.63,26,20,"56,087,600",EU,"1,213,920","2,382,880","2,967,360","157,360","4,248,720",,"1,090,280","955,400","3,405,720","8,283,880","1,461,200","4,810,720","483,320","1,528,640","820,520",,"8,587,360",,"562,000","112,400","281,000","101,160","2,944,880",,,"1,708,480","5,058,000","831,760","438,360","1,652,280",
11.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.60,13.00,30.00,22.15,22.59,"2,495,000","4,390,500",66,31,3.47,"66,523","231,079","227,313","155,938","134,024",1.76,19,16,"56,387,000",EU,"1,220,400","2,395,600","2,983,200","158,200","4,271,400",,"1,096,100","960,500","3,423,900","8,328,100","1,469,000","4,836,400","485,900","1,536,800","824,900",,"8,633,200",,"565,000","113,000","282,500","101,700","2,960,600",,,"1,717,600","5,085,000","836,200","440,700","1,661,100",
08.03.2019,11:00,Auction 3. Period DE,T3PA,22.88,13.00,30.00,22.56,22.88,"3,209,000","5,869,500",75,38,3.13,"78,260","244,563","286,120","160,450","160,429",1.83,24,20,"73,421,920",DE,,,,,,"73,421,920",,,,,,,,,,,,,,,,,,,,,,,,,
07.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.03,21.65,30.00,22.24,22.02,"2,495,000","3,750,500",64,31,2.56,"58,602","150,020","180,872","138,611","161,129",1.50,25,18,"54,964,850",EU,"1,189,620","2,335,180","2,907,960","154,210","4,163,670",,"1,068,455","936,275","3,337,545","8,118,055","1,431,950","4,714,420","473,645","1,498,040","804,095",,"8,415,460",,"550,750","110,150","275,375","99,135","2,885,930",,,"1,674,280","4,956,750","815,110","429,585","1,619,205",
05.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.86,13.00,30.00,22.48,22.85,"2,495,000","4,394,500",69,32,3.00,"63,688","191,065","195,999","138,611","159,084",1.76,23,18,"57,035,700",EU,"1,234,440","2,423,160","3,017,520","160,020","4,320,540",,"1,108,710","971,550","3,463,290","8,423,910","1,485,900","4,892,040","491,490","1,554,480","834,390",,"8,732,520",,"571,500","114,300","285,750","102,870","2,994,660",,,"1,737,360","5,143,500","845,820","445,770","1,680,210",
04.03.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.12,6.00,30.00,22.05,22.01,"2,495,000","4,256,500",57,21,3.00,"74,675","224,026","208,023","191,923","165,054",1.71,19,13,"55,189,400",EU,"1,194,480","2,344,720","2,919,840","154,840","4,180,680",,"1,072,820","940,100","3,351,180","8,151,220","1,437,800","4,733,680","475,580","1,504,160","807,380",,"8,449,840",,"553,000","110,600","276,500","99,540","2,897,720",,,"1,681,120","4,977,000","818,440","431,340","1,625,820",
01.03.2019,11:00,Auction 3. Period DE,T3PA,21.31,13.00,26.00,20.95,21.12,"3,209,000","6,078,000",78,23,3.71,"77,923","289,429","248,589","213,933","184,790",1.89,21,15,"68,383,790",DE,,,,,,"68,383,790",,,,,,,,,,,,,,,,,,,,,,,,,
